epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall,precision_1,recall_1,val_precision_1,val_recall_1,precision_2,recall_2,val_precision_2,val_recall_2,precision_3,recall_3,val_precision_3,val_recall_3,precision_4,recall_4,val_precision_4,val_recall_4
0.0,0.690378749370575,0.10440363734960552,0.6448907256126404,0.0001,0.1868057399988174,0.4618508517742157,0.7741747260093689,0.08098404109477993,0.6385397434234619,0.0,0.0,0.2147019803524017,0.6518827676773071,0.2565641403198242,0.0004647307505365,0.1795727908611297,0.732384204864502,0.0,0.0,0.1816533952951431,0.701034426689148,0.1325792223215103,0.97984778881073,0.1836200952529907,0.8088511824607849,0.1530956029891967,0.1918460726737976
1.0,0.8604933500289917,0.1141827523708343,0.4638610303401947,0.0001,0.3456402122974396,0.3134322464466095,0.8987870812416077,0.07626916766166683,0.5273624122142792,0.0,0.0,0.3955759704113006,0.4717372357845306,0.0,0.0,0.3624777197837829,0.5319304466247559,0.0,0.0,0.3070709109306335,0.4767585098743438,0.1979120224714279,0.051469586789608,0.3133215308189392,0.612115740776062,0.1232084408402443,0.0238744150847196
2.0,0.8975404024124145,0.12529837191104884,0.3981060743331909,0.0001,0.4723069369792938,0.3311511278152466,0.9037314534187317,0.07387484610080718,0.44903608560562136,0.0,0.0,0.4882377386093139,0.4708319008350372,0.0,0.0,0.4828417301177978,0.4831801354885101,0.0,0.0,0.4423640370368957,0.3918832242488861,0.4430885016918182,0.1523850411176681,0.4425634145736694,0.4941788911819458,0.0255959574133157,0.0003176711034029
3.0,0.9116848707199097,0.1355320811271667,0.3633215725421905,0.0001,0.5517061948776245,0.3895345032215118,0.8975903749465942,0.07704669311642645,0.4168445646762848,0.0,0.0,0.5714526772499084,0.4823853373527527,0.2784911692142486,0.0014145751483738,0.5385448336601257,0.4936239421367645,0.0,0.0,0.552914559841156,0.4189226031303406,0.3599186539649963,0.3784491121768951,0.5402315258979797,0.4845525026321411,0.0690265521407127,0.0035093794576823
4.0,0.9201470494270325,0.14718435108661648,0.3384415805339813,0.0001,0.5897347331047058,0.4589539468288421,0.8957223296165466,0.0789416223764419,0.4036052286624908,0.2543518841266632,0.0024375112261623,0.6358694434165955,0.5032027363777161,0.1761884689331054,0.0192686598747968,0.5760408639907837,0.513558030128479,0.4285714328289032,3.817940068984171e-06,0.6253958344459534,0.4750641286373138,0.3727642893791199,0.3736876249313354,0.6130372881889343,0.4987619519233703,0.2369890064001083,0.0516290515661239
5.0,0.9259977459907531,0.15863081514835353,0.3193764090538025,0.0001,0.5948405265808105,0.5086168050765991,0.8941260695457458,0.0840055920183658,0.396803206205368,0.2197894304990768,0.0075979209505021,0.6829438209533691,0.5375481843948364,0.3232922255992889,0.0545868389308452,0.623874843120575,0.5403599739074707,0.1016355156898498,0.0004428810789249,0.6654890775680542,0.5023454427719116,0.3895497918128967,0.3901979029178619,0.6651662588119507,0.5271792411804199,0.2596972286701202,0.1233300119638443
6.0,0.9311717987060547,0.16933216154575345,0.30375337004661557,0.0001,0.6128344535827637,0.5216411352157593,0.8928427934646607,0.09954397380352016,0.3935641169548035,0.3626371026039123,0.0399804227054119,0.7186631560325623,0.5726704001426697,0.5346667170524597,0.1431941390037536,0.6578928232192993,0.5628151893615723,0.335901141166687,0.0395105928182601,0.7081912755966187,0.5377962589263916,0.4187056124210357,0.500497579574585,0.7060983180999756,0.5556824207305908,0.2851206660270691,0.2307887375354766
7.0,0.9374988913536072,0.1790227115154266,0.2890369057655334,8.2e-05,0.6582701802253723,0.5405750274658203,0.9000355720520019,0.11789899766445155,0.35455322265625,0.4824368953704834,0.1387961357831955,0.7524719834327698,0.6026167273521423,0.6907814145088196,0.2356415838003158,0.7014448642730713,0.5953528881072998,0.4433631300926208,0.0897521376609802,0.8082377314567566,0.5190988779067993,0.5171528458595276,0.562454104423523,0.7451121211051941,0.580774188041687,0.3302296698093414,0.3512024581432342
8.0,0.9423059821128845,0.19293742477893824,0.2761228919029236,8.2e-05,0.6873654127120972,0.5836463570594788,0.9110870957374573,0.13744066506624217,0.3236980736255646,0.5966237187385559,0.3612990081310272,0.7727560997009277,0.633474588394165,0.7627706527709961,0.2931594848632812,0.737270712852478,0.6283083558082581,0.494302362203598,0.1839420050382614,0.784908652305603,0.5936847925186157,0.5961273908615112,0.563534140586853,0.7806233167648315,0.6139755845069885,0.4254546165466308,0.3872887790203094
9.0,0.9462545871734619,0.20519439876079554,0.26480350494384763,8.2e-05,0.7162252068519592,0.6178677678108215,0.9197483658790588,0.14605052620172498,0.3088561356067657,0.855961799621582,0.3024678528308868,0.792740523815155,0.6637669205665588,0.7993690967559814,0.3612058460712433,0.7658879160881042,0.6557210087776184,0.5684466361999512,0.2298870980739593,0.7815046310424805,0.6119111776351929,0.6722599864006042,0.5384529829025269,0.8037877082824707,0.6510381102561951,0.4801093935966491,0.4528762996196747
